year,city,country,avg_temp
1988,Miami,United States,23.25
1989,Miami,United States,23.77
1990,Miami,United States,24.33
1991,Miami,United States,24.11
1992,Miami,United States,23.36
1993,Miami,United States,23.49
1994,Miami,United States,24.16
1995,Miami,United States,23.6
1996,Miami,United States,23.21
1997,Miami,United States,24
1998,Miami,United States,24.28
1999,Miami,United States,23.66
2000,Miami,United States,23.5
2001,Miami,United States,23.7
2002,Miami,United States,24.11
2003,Miami,United States,24
2004,Miami,United States,23.69
2005,Miami,United States,23.64
2006,Miami,United States,23.77
2007,Miami,United States,24.12
2008,Miami,United States,23.78
2009,Miami,United States,23.9
2010,Miami,United States,22.75
2011,Miami,United States,24.23
2012,Miami,United States,23.92
2013,Miami,United States,24.44
